name,position,team,predicted_total_points,price,condition
Ki-Jana Hoever,DEF,Wolverhampton Wanderers,0.01,4.0,1.0
Luis Sinisterra,MID,Bournemouth,0.69,5.0,1.0
Michael Keane,DEF,Everton,0.56,4.0,1.0
Santiago Bueno,DEF,Wolverhampton Wanderers,0.95,4.5,1.0
Omar Richards,DEF,Nottingham Forest,0.01,4.4,1.0
Pablo Sarabia,MID,Wolverhampton Wanderers,0.51,5.4,1.0
Callum Hudson-Odoi,MID,Nottingham Forest,9.49,5.5,1.0
Roberto Firmino,FWD,Everton,0.5,5.0,1.0
Jordan Pickford,GK,Everton,0.83,4.9,1.0
Sam Amo-Ameyaw,MID,Southampton,0.7,4.5,1.0
