name,position,nationality,team,season
Emil Krafth,Defender,Sweden,Newcastle United,2024/25
Tino Livramento,Defender,England,Newcastle United,2024/25
Dan Burn,Defender,England,Newcastle United,2024/25
Isaac Hayden,Midfielder,England,Newcastle United,2024/25
Sandro Tonali,Midfielder,Italy,Newcastle United,2024/25
Harvey Barnes,Midfielder,England,Newcastle United,2024/25
Jacob Murphy,Midfielder,England,Newcastle United,2024/25
Miguel Almirón,Midfielder,Paraguay,Newcastle United,2024/25
Joe Willock,Midfielder,England,Newcastle United,2024/25
Sean Longstaff,Midfielder,England,Newcastle United,2024/25
Bruno Guimarães,Midfielder,Brazil,Newcastle United,2024/25
Lewis Miley,Midfielder,England,Newcastle United,2024/25
Joelinton,Forward,Brazil,Newcastle United,2024/25
Callum Wilson,Forward,England,Newcastle United,2024/25
Anthony Gordon,Forward,England,Newcastle United,2024/25
Alexander Isak,Forward,Sweden,Newcastle United,2024/25
Alex Murphy,Defender,Ireland,Newcastle United,2024/25
Garang Kuol,Forward,Australia,Newcastle United,2024/25
Lloyd Kelly,Defender,England,Newcastle United,2024/25
Jamal Lewis,Defender,Northern Ireland,Newcastle United,2024/25
John Ruddy,Goalkeeper,England,Newcastle United,2024/25
Odysseas Vlachodimos,Goalkeeper,Greece,Newcastle United,2024/25
Lewis Hall,Defender,England,Newcastle United,2024/25
Ederson Moraes,Goalkeeper,Brazil,Manchester City,2024/25
Scott Carson,Goalkeeper,England,Manchester City,2024/25
Kyle Walker,Defender,England,Manchester City,2024/25
Rúben Dias,Defender,Portugal,Manchester City,2024/25
John Stones,Defender,England,Manchester City,2024/25
Nathan Aké,Defender,Netherlands,Manchester City,2024/25
Josko Gvardiol,Defender,Croatia,Manchester City,2024/25
Manuel Akanji,Defender,Switzerland,Manchester City,2024/25
Rico Lewis,Defender,England,Manchester City,2024/25
Mateo Kovacic,Midfielder,Croatia,Manchester City,2024/25
Jack Grealish,Midfielder,England,Manchester City,2024/25
Rodri,Midfielder,Spain,Manchester City,2024/25
Kevin De Bruyne,Midfielder,Belgium,Manchester City,2024/25
Bernardo Silva,Midfielder,Portugal,Manchester City,2024/25
Phil Foden,Midfielder,England,Manchester City,2024/25
James McAtee,Midfielder,England,Manchester City,2024/25
Erling Haaland,Forward,Norway,Manchester City,2024/25
Josh Wilson-Esbrand,Defender,England,Manchester City,2024/25
Matheus Nunes,Midfielder,Portugal,Manchester City,2024/25
Oscar Bobb,Midfielder,Norway,Manchester City,2024/25
Jérémy Doku,Forward,Belgium,Manchester City,2024/25
Issa Kaboré,Defender,Burkina Faso,Manchester City,2024/25
Savinho,Forward,Brazil,Manchester City,2024/25
Alphonse Areola,Goalkeeper,France,West Ham United,2024/25
Aaron Cresswell,Defender,England,West Ham United,2024/25
Kurt Zouma,Defender,France,West Ham United,2024/25
Vladimír Coufal,Defender,Czech Republic,West Ham United,2024/25
Emerson,Defender,Italy,West Ham United,2024/25
Lucas Paquetá,Midfielder,Brazil,West Ham United,2024/25
Edson Álvarez,Midfielder,Mexico,West Ham United,2024/25
Tomás Soucek,Midfielder,Czech Republic,West Ham United,2024/25
Michail Antonio,Forward,Jamaica,West Ham United,2024/25
Danny Ings,Forward,England,West Ham United,2024/25
Jarrod Bowen,Forward,England,West Ham United,2024/25
Konstantinos Mavropanos,Defender,Greece,West Ham United,2024/25
Kaelan Casey,Defender,England,West Ham United,2024/25
Mohammed Kudus,Midfielder,Ghana,West Ham United,2024/25
Luis Guilherme,Forward,Brazil,West Ham United,2024/25
Wes Foderingham,Goalkeeper,England,West Ham United,2024/25
Maximilian Kilman,Defender,England,West Ham United,2024/25
Crysencio Summerville,Forward,Netherlands,West Ham United,2024/25
Niclas Füllkrug,Forward,Germany,West Ham United,2024/25
Guido Rodríguez,Midfielder,Argentina,West Ham United,2024/25
William Osula,Forward,Denmark,Newcastle United,2024/25
Harry Toffolo,Defender,England,Nottingham Forest,2024/25
Willy-Arnaud Boly,Defender,Cote D’Ivoire,Nottingham Forest,2024/25
Ola Aina,Defender,Nigeria,Nottingham Forest,2024/25
Morgan Gibbs-White,Midfielder,England,Nottingham Forest,2024/25
Ryan Yates,Midfielder,England,Nottingham Forest,2024/25
Danilo,Midfielder,Brazil,Nottingham Forest,2024/25
Remo Freuler,Midfielder,Switzerland,Nottingham Forest,2024/25
Taiwo Awoniyi,Forward,Nigeria,Nottingham Forest,2024/25
Chris Wood,Forward,New Zealand,Nottingham Forest,2024/25
Anthony Elanga,Forward,Sweden,Nottingham Forest,2024/25
Emmanuel Dennis,Forward,Nigeria,Nottingham Forest,2024/25
Hwang Ui-Jo,Forward,South Korea,Nottingham Forest,2024/25
Matz Sels,Goalkeeper,Belgium,Nottingham Forest,2024/25
Andrew Omobamidele,Defender,Ireland,Nottingham Forest,2024/25
Murillo,Defender,Brazil,Nottingham Forest,2024/25
Zach Abbott,Defender,England,Nottingham Forest,2024/25
Ibrahim Sangaré,Midfielder,Cote D’Ivoire,Nottingham Forest,2024/25
Nicolás Domínguez,Midfielder,Argentina,Nottingham Forest,2024/25
Callum Hudson-Odoi,Forward,England,Nottingham Forest,2024/25
Elliot Anderson,Midfielder,Scotland,Nottingham Forest,2024/25
Ilkay Gündogan,Midfielder,Germany,Manchester City,2024/25
André Onana,Goalkeeper,Cameroon,Manchester United,2024/25
Victor Lindelöf,Defender,Sweden,Manchester United,2024/25
Harry Maguire,Defender,England,Manchester United,2024/25
Tyrell Malacia,Defender,Netherlands,Manchester United,2024/25
Lisandro Martínez,Defender,Argentina,Manchester United,2024/25
Diogo Dalot,Defender,Portugal,Manchester United,2024/25
Luke Shaw,Defender,England,Manchester United,2024/25
Jonny Evans,Defender,Northern Ireland,Manchester United,2024/25
Toby Collyer,Midfielder,England,Manchester United,2024/25
Mason Mount,Midfielder,England,Manchester United,2024/25
Bruno Fernandes,Midfielder,Portugal,Manchester United,2024/25
Christian Eriksen,Midfielder,Denmark,Manchester United,2024/25
Casemiro,Midfielder,Brazil,Manchester United,2024/25
Daniel Gore,Midfielder,England,Manchester United,2024/25
Kobbie Mainoo,Midfielder,England,Manchester United,2024/25
Rasmus Højlund,Forward,Denmark,Manchester United,2024/25
Marcus Rashford,Forward,England,Manchester United,2024/25
Amad Diallo,Forward,Cote D’Ivoire,Manchester United,2024/25
Antony,Forward,Brazil,Manchester United,2024/25
Alejandro Garnacho,Forward,Argentina,Manchester United,2024/25
Altay Bayindir,Goalkeeper,Turkey,Manchester United,2024/25
Harry Amass,Defender,England,Manchester United,2024/25
Ethan Wheatley,Forward,England,Manchester United,2024/25
Joshua Zirkzee,Forward,Netherlands,Manchester United,2024/25
Leny Yoro,Defender,France,Manchester United,2024/25
Noussair Mazraoui,Defender,Morocco,Manchester United,2024/25
Matthijs de Ligt,Defender,Netherlands,Manchester United,2024/25
Manuel Ugarte,Midfielder,Uruguay,Manchester United,2024/25
Jean-Clair Todibo,Defender,France,West Ham United,2024/25
Aaron Wan-Bissaka,Defender,England,West Ham United,2024/25
Eric da Silva Moreira,Forward,Germany,Nottingham Forest,2024/25
Nikola Milenkovic,Defender,Serbia,Nottingham Forest,2024/25
Carlos Miguel,Goalkeeper,Brazil,Nottingham Forest,2024/25
Jota Silva,Forward,Portugal,Nottingham Forest,2024/25
Ramón Sosa,Forward,Paraguay,Nottingham Forest,2024/25
Álex Moreno,Defender,Spain,Nottingham Forest,2024/25
Ben Perry,Midfielder,England,Nottingham Forest,2024/25
James Ward-Prowse,Midfielder,England,Nottingham Forest,2024/25
Morato,Defender,Brazil,Nottingham Forest,2024/25
Carlos Soler,Midfielder,Spain,West Ham United,2024/25
Dan Bentley,Goalkeeper,England,Wolverhampton Wanderers,2024/25
Tom King,Goalkeeper,Wales,Wolverhampton Wanderers,2024/25
Matt Doherty,Defender,Ireland,Wolverhampton Wanderers,2024/25
Rayan Aït-Nouri,Defender,Algeria,Wolverhampton Wanderers,2024/25
Craig Dawson,Defender,England,Wolverhampton Wanderers,2024/25
Nélson Semedo,Defender,Portugal,Wolverhampton Wanderers,2024/25
Toti Gomes,Defender,Portugal,Wolverhampton Wanderers,2024/25
Boubacar Traoré,Midfielder,Mali,Wolverhampton Wanderers,2024/25
Mario Lemina,Midfielder,Gabon,Wolverhampton Wanderers,2024/25
Daniel Podence,Midfielder,Portugal,Wolverhampton Wanderers,2024/25
Pablo Sarabia,Midfielder,Spain,Wolverhampton Wanderers,2024/25
João Gomes,Midfielder,Brazil,Wolverhampton Wanderers,2024/25
Hwang Hee-Chan,Forward,South Korea,Wolverhampton Wanderers,2024/25
Matheus Cunha,Forward,Brazil,Wolverhampton Wanderers,2024/25
Gonçalo Guedes,Forward,Portugal,Wolverhampton Wanderers,2024/25
Sasa Kalajdzic,Forward,Austria,Wolverhampton Wanderers,2024/25
Santiago Bueno,Defender,Uruguay,Wolverhampton Wanderers,2024/25
Tommy Doyle,Midfielder,England,Wolverhampton Wanderers,2024/25
Jean-Ricner Bellegarde,Midfielder,France,Wolverhampton Wanderers,2024/25
Enso González,Forward,Paraguay,Wolverhampton Wanderers,2024/25
Rodrigo Gomes,Forward,Portugal,Wolverhampton Wanderers,2024/25
Yerson Mosquera,Defender,Colombia,Wolverhampton Wanderers,2024/25
Luke Cundle,Midfielder,England,Wolverhampton Wanderers,2024/25
Jørgen Strand Larsen,Forward,Norway,Wolverhampton Wanderers,2024/25
Pedro Lima,Defender,Brazil,Wolverhampton Wanderers,2024/25
Luke Rawlings,Midfielder,England,Wolverhampton Wanderers,2024/25
Bastien Meupiyou,Defender,France,Wolverhampton Wanderers,2024/25
Sam Johnstone,Goalkeeper,England,Wolverhampton Wanderers,2024/25
André,Midfielder,Brazil,Wolverhampton Wanderers,2024/25
Carlos Forbs,Forward,Portugal,Wolverhampton Wanderers,2024/25
Jason Steele,Goalkeeper,England,Brighton & Hove Albion,2023/24
Tom McGill,Goalkeeper,Canada,Brighton & Hove Albion,2023/24
Tariq Lamptey,Defender,Ghana,Brighton & Hove Albion,2023/24
Adam Webster,Defender,England,Brighton & Hove Albion,2023/24
Lewis Dunk,Defender,England,Brighton & Hove Albion,2023/24
Levi Colwill,Defender,England,Brighton & Hove Albion,2023/24
Jan Paul van Hecke,Defender,Netherlands,Brighton & Hove Albion,2023/24
Pervis Estupiñán,Defender,Ecuador,Brighton & Hove Albion,2023/24
Joël Veltman,Defender,Netherlands,Brighton & Hove Albion,2023/24
Odeluga Offiah,Defender,England,Brighton & Hove Albion,2023/24
Imari Samuels,Defender,England,Brighton & Hove Albion,2023/24
Solly March,Midfielder,England,Brighton & Hove Albion,2023/24
Alexis Mac Allister,Midfielder,Argentina,Brighton & Hove Albion,2023/24
Pascal Groß,Midfielder,Germany,Brighton & Hove Albion,2023/24
Adam Lallana,Midfielder,England,Brighton & Hove Albion,2023/24
Jakub Moder,Midfielder,Poland,Brighton & Hove Albion,2023/24
Kaoru Mitoma,Midfielder,Japan,Brighton & Hove Albion,2023/24
Moisés Caicedo,Midfielder,Ecuador,Brighton & Hove Albion,2023/24
Yasin Ayari,Midfielder,Sweden,Brighton & Hove Albion,2023/24
Billy Gilmour,Midfielder,Scotland,Brighton & Hove Albion,2023/24
Facundo Buonanotte,Midfielder,Argentina,Brighton & Hove Albion,2023/24
Cameron Peupion,Midfielder,Australia,Brighton & Hove Albion,2023/24
Jack Hinchy,Midfielder,England,Brighton & Hove Albion,2023/24
Andrew Moran,Midfielder,Ireland,Brighton & Hove Albion,2023/24
Jack Hinshelwood,Midfielder,England,Brighton & Hove Albion,2023/24
Danny Welbeck,Forward,England,Brighton & Hove Albion,2023/24
Jeremy Sarmiento,Midfielder,Ecuador,Brighton & Hove Albion,2023/24
Julio Enciso,Midfielder,Paraguay,Brighton & Hove Albion,2023/24
Deniz Undav,Forward,Germany,Brighton & Hove Albion,2023/24
Evan Ferguson,Forward,Ireland,Brighton & Hove Albion,2023/24
Haydon Roberts,Defender,England,Brighton & Hove Albion,2023/24
James Furlong,Defender,Ireland,Brighton & Hove Albion,2023/24
João Pedro,Forward,Brazil,Brighton & Hove Albion,2023/24
James Milner,Midfielder,England,Brighton & Hove Albion,2023/24
Mahmoud Dahoud,Midfielder,Syria,Brighton & Hove Albion,2023/24
Kjell Scherpen,Goalkeeper,Netherlands,Brighton & Hove Albion,2023/24
Michal Karbownik,Defender,Poland,Brighton & Hove Albion,2023/24
Steven Alzate,Forward,Colombia,Brighton & Hove Albion,2023/24
Kacper Kozlowski,Midfielder,Poland,Brighton & Hove Albion,2023/24
Simon Adingra,Forward,Cote D’Ivoire,Brighton & Hove Albion,2023/24
Aaron Connolly,Forward,Ireland,Brighton & Hove Albion,2023/24
Andi Zeqiri,Forward,Switzerland,Brighton & Hove Albion,2023/24
Bart Verbruggen,Goalkeeper,Netherlands,Brighton & Hove Albion,2023/24
Carl Rushworth,Goalkeeper,England,Brighton & Hove Albion,2023/24
Ed Turns,Defender,Wales,Brighton & Hove Albion,2023/24
Marc Leonard,Midfielder,Scotland,Brighton & Hove Albion,2023/24
Reda Khadra,Midfielder,Germany,Brighton & Hove Albion,2023/24
Jensen Weir,Midfielder,England,Brighton & Hove Albion,2023/24
Benicio Baker-Boaitey,Forward,England,Brighton & Hove Albion,2023/24
Igor Julio,Defender,Brazil,Brighton & Hove Albion,2023/24
Steven Alzate,Midfielder,Colombia,Brighton & Hove Albion,2023/24
Carlos Baleba,Midfielder,Cameroon,Brighton & Hove Albion,2023/24
Ansu Fati,Forward,Spain,Brighton & Hove Albion,2023/24
Joshua Duffus,Forward,England,Brighton & Hove Albion,2023/24
Mark O’Mahony,Forward,Ireland,Brighton & Hove Albion,2023/24
Ben Jackson,Defender,England,Brighton & Hove Albion,2023/24
Samy Chouchane,Midfielder,Tunisia,Brighton & Hove Albion,2023/24
Leigh Kavanagh,Defender,Ireland,Brighton & Hove Albion,2023/24
Luca Barrington,Forward,England,Brighton & Hove Albion,2023/24
Adrian Mazilu,Forward,Romania,Brighton & Hove Albion,2023/24
Valentín Barco,Defender,Argentina,Brighton & Hove Albion,2023/24
Matt Turner,Goalkeeper,United States,Arsenal,2023/24
Karl Hein,Goalkeeper,Estonia,Arsenal,2023/24
James Hillson,Goalkeeper,England,Arsenal,2023/24
Kieran Tierney,Defender,Scotland,Arsenal,2023/24
Ben White,Defender,England,Arsenal,2023/24
Gabriel Magalhães,Defender,Brazil,Arsenal,2023/24
William Saliba,Defender,France,Arsenal,2023/24
Jakub Kiwior,Defender,Poland,Arsenal,2023/24
Rob Holding,Defender,England,Arsenal,2023/24
Takehiro Tomiyasu,Defender,Japan,Arsenal,2023/24
Lino Sousa,Defender,England,Arsenal,2023/24
Thomas Partey,Midfielder,Ghana,Arsenal,2023/24
Bukayo Saka,Forward,England,Arsenal,2023/24
Martin Ødegaard,Midfielder,Norway,Arsenal,2023/24
Emile Smith Rowe,Midfielder,England,Arsenal,2023/24
Jorginho,Midfielder,Italy,Arsenal,2023/24
Fábio Vieira,Midfielder,Portugal,Arsenal,2023/24
Mohamed Elneny,Midfielder,Egypt,Arsenal,2023/24
Granit Xhaka,Midfielder,Switzerland,Arsenal,2023/24
Oleksandr Zinchenko,Defender,Ukraine,Arsenal,2023/24
Noël Atom,Defender,Germany,Brighton & Hove Albion,2023/24
Denis Franchi,Goalkeeper,Italy,Burnley,2023/24
Charlie Casper,Goalkeeper,England,Burnley,2023/24
Arijanet Muric,Goalkeeper,Kosovo,Burnley,2023/24
Charlie Taylor,Defender,England,Burnley,2023/24
Taylor Harwood-Bellis,Defender,England,Burnley,2023/24
CJ Egan-Riley,Defender,England,Burnley,2023/24
Connor Roberts,Defender,Wales,Burnley,2023/24
Hjalmar Ekdal,Defender,Sweden,Burnley,2023/24
Vitinho,Defender,Brazil,Burnley,2023/24
Ameen Al Dakhil,Defender,Belgium,Burnley,2023/24
Ian Maatsen,Defender,Netherlands,Burnley,2023/24
Dan Sassi,Defender,England,Burnley,2023/24
Jack Cork,Midfielder,England,Burnley,2023/24
Jóhann Gudmundsson,Forward,Iceland,Burnley,2023/24
Josh Brownhill,Midfielder,England,Burnley,2023/24
Scott Twine,Midfielder,England,Burnley,2023/24
Nathan Tella,Midfielder,Nigeria,Burnley,2023/24
Josh Cullen,Midfielder,Ireland,Burnley,2023/24
Samuel Bastien,Midfielder,DR Congo,Burnley,2023/24
Marcel Lewis,Midfielder,England,Burnley,2023/24
Jay Rodriguez,Forward,England,Burnley,2023/24
Mauro Bandeira,Midfielder,Portugal,Arsenal,2023/24
Catalin Cîrjan,Midfielder,Romania,Arsenal,2023/24
Matt Smith,Midfielder,England,Arsenal,2023/24
Ethan Nwaneri,Midfielder,England,Arsenal,2023/24
Bradley Ibrahim,Midfielder,England,Arsenal,2023/24
Gabriel Jesus,Forward,Brazil,Arsenal,2023/24
Gabriel Martinelli,Forward,Brazil,Arsenal,2023/24
Eddie Nketiah,Forward,England,Arsenal,2023/24
Leandro Trossard,Forward,Belgium,Arsenal,2023/24
Reiss Nelson,Forward,England,Arsenal,2023/24
Khayon Edwards,Forward,Jamaica,Arsenal,2023/24
Ainsley Maitland-Niles,Midfielder,England,Arsenal,2023/24
Kai Havertz,Midfielder,Germany,Arsenal,2023/24
Rúnar Rúnarsson,Goalkeeper,Iceland,Arsenal,2023/24
Auston Trusty,Defender,United States,Arsenal,2023/24
Nuno Tavares,Defender,Portugal,Arsenal,2023/24
Albert Sambi Lokonga,Midfielder,Belgium,Arsenal,2023/24
Nicolas Pépé,Forward,Cote D’Ivoire,Arsenal,2023/24
Marquinhos,Forward,Brazil,Arsenal,2023/24
Arthur Okonkwo,Goalkeeper,England,Arsenal,2023/24
Folarin Balogun,Forward,United States,Arsenal,2023/24
Myles Lewis-Skelly,Midfielder,England,Arsenal,2023/24
Jurriën Timber,Defender,Netherlands,Arsenal,2023/24
Declan Rice,Midfielder,England,Arsenal,2023/24
Ashley Barnes,Forward,England,Burnley,2023/24
Lyle Foster,Forward,South Africa,Burnley,2023/24
Manuel Benson,Forward,Angola,Burnley,2023/24
Anass Zaroury,Forward,Morocco,Burnley,2023/24
Darko Churlinov,Forward,North Macedonia,Burnley,2023/24
Halil Dervisoglu,Forward,Turkey,Burnley,2023/24
Joe Bauress,Forward,England,Burnley,2023/24
Michael Obafemi,Forward,Ireland,Burnley,2023/24
Jordan Beyer,Defender,Germany,Burnley,2023/24
Dara O'Shea,Defender,Ireland,Burnley,2023/24
Will Norris,Goalkeeper,England,Burnley,2023/24
Lawrence Vigouroux,Goalkeeper,Chile,Burnley,2023/24
Luke McNally,Defender,Ireland,Burnley,2023/24
Enock Agyei,Forward,Belgium,Burnley,2023/24
Wout Weghorst,Forward,Netherlands,Burnley,2023/24
David Raya,Goalkeeper,Spain,Arsenal,2023/24
James Sweet,Defender,Wales,Arsenal,2023/24
Cédric Soares,Defender,Portugal,Arsenal,2023/24
Reuell Walters,Defender,England,Arsenal,2023/24
Amario Cozier-Duberry,Midfielder,England,Arsenal,2023/24
Charles Sagoe Jr,Forward,England,Arsenal,2023/24
Mika Biereth,Forward,Denmark,Arsenal,2023/24
Ayden Heaven,Defender,England,Arsenal,2023/24
Asmir Begovic,Goalkeeper,Bosnia & Herzegovina,Everton,2023/24
Andy Lonergan,Goalkeeper,England,Everton,2023/24
Billy Crellin,Goalkeeper,England,Everton,2023/24
James Tarkowski,Defender,England,Everton,2023/24
Nathan Patterson,Defender,Scotland,Everton,2023/24
Mason Holgate,Defender,England,Everton,2023/24
Michael Keane,Defender,England,Everton,2023/24
Yerry Mina,Defender,Colombia,Everton,2023/24
Vitalii Mykolenko,Defender,Ukraine,Everton,2023/24
Ben Godfrey,Defender,England,Everton,2023/24
Séamus Coleman,Defender,Ireland,Everton,2023/24
Rúben Vinagre,Defender,Portugal,Everton,2023/24
Conor Coady,Defender,England,Everton,2023/24
Kyle John,Defender,England,Everton,2023/24
Bobby Thomas,Defender,England,Burnley,2023/24
Dara Costelloe,Forward,Ireland,Burnley,2023/24
Zeki Amdouni,Forward,Switzerland,Burnley,2023/24
James Trafford,Goalkeeper,England,Burnley,2023/24
Nathan Redmond,Midfielder,England,Burnley,2023/24
Luca Koleosho,Forward,Italy,Burnley,2023/24
Jacob Bruun Larsen,Forward,Denmark,Burnley,2023/24
Owen Dodgson,Defender,England,Burnley,2023/24
Sander Berge,Midfielder,Norway,Burnley,2023/24
Wilson Odobert,Forward,France,Burnley,2023/24
Hannes Delcroix,Defender,Belgium,Burnley,2023/24
Aaron Ramsey,Midfielder,England,Burnley,2023/24
Han-Noah Massengo,Midfielder,France,Burnley,2023/24
Mike Trésor,Forward,Belgium,Burnley,2023/24
David Datro Fofana,Forward,Cote D’Ivoire,Burnley,2023/24
Maxime Estève,Defender,France,Burnley,2023/24
Lorenz Assignon,Defender,France,Burnley,2023/24
Ishé Samuels-Smith,Defender,England,Everton,2023/24
Reece Welch,Defender,England,Everton,2023/24
Amadou Onana,Midfielder,Belgium,Everton,2023/24
Andros Townsend,Midfielder,England,Everton,2023/24
Abdoulaye Doucouré,Midfielder,Mali,Everton,2023/24
Tom Davies,Midfielder,England,Everton,2023/24
Idrissa Gueye,Midfielder,Senegal,Everton,2023/24
James Garner,Midfielder,England,Everton,2023/24
Sean McAllister,Midfielder,Northern Ireland,Everton,2023/24
Stanley Mills,Midfielder,England,Everton,2023/24
Isaac Price,Midfielder,Northern Ireland,Everton,2023/24
Dwight McNeil,Forward,England,Everton,2023/24
Dominic Calvert-Lewin,Forward,England,Everton,2023/24
Demarai Gray,Forward,Jamaica,Everton,2023/24
Alex Iwobi,Forward,Nigeria,Everton,2023/24
Neal Maupay,Forward,France,Everton,2023/24
Ellis Simms,Forward,England,Everton,2023/24
João Virgínia,Goalkeeper,Portugal,Everton,2023/24
Jarrad Branthwaite,Defender,England,Everton,2023/24
Dele Alli,Midfielder,England,Everton,2023/24
André Gomes,Midfielder,Portugal,Everton,2023/24
Jean-Philippe Gbamin,Midfielder,Cote D’Ivoire,Everton,2023/24
Thomas Cannon,Forward,Ireland,Everton,2023/24
Lewis Dobbin,Forward,England,Everton,2023/24
Ashley Young,Defender,England,Everton,2023/24
Arnaut Danjuma,Forward,Netherlands,Everton,2023/24
Youssef Chermiti,Forward,Portugal,Everton,2023/24
Tyler Onyango,Midfielder,England,Everton,2023/24
Jack Harrison,Forward,England,Everton,2023/24
Beto,Forward,Portugal,Everton,2023/24
Mackenzie Hunt,Midfielder,United Arab Emirates,Everton,2023/24
Elijah Campbell,Defender,England,Everton,2023/24
Jenson Metcalfe,Midfielder,England,Everton,2023/24
Kristoffer Ajer,Defender,Norway,Chelsea,2023/24
Marcus Bettinelli,Goalkeeper,England,Chelsea,2023/24
Édouard Mendy,Goalkeeper,Senegal,Chelsea,2023/24
Gabriel Slonina,Goalkeeper,United States,Chelsea,2023/24
Lucas Bergström,Goalkeeper,Finland,Chelsea,2023/24
